"","date","type","team","opp","location","conf","opp_conf","pts","opp_pts","fga","oreb","to","fta","opp_fga","opp_oreb","opp_to","opp_fta","off_ppp","def_ppp","adj_o","adj_d","tempo","avg_marg","net","quad"
"1",2024-11-04,"nc","Tennessee","Gardner Webb","H","SEC","Big South",80,64,55,8,11,21,55,10,15,15,118.4,94.7,113.8,97.8,67.6,10.6959,226,"Quadrant 4"
"2",2024-11-04,"nc","North Carolina","Elon","H","ACC","CAA",90,76,80,18,6,16,61,10,16,14,120.6,101.8,119.8,103.3,74.6,7.17977,113,"Quadrant 3"
"3",2024-11-04,"nc","Clemson","Charleston Southern","H","ACC","Big South",91,64,65,13,7,24,50,11,18,27,129.8,91.3,120.6,98.9,70.1,12.5287,275,"Quadrant 4"
"4",2024-11-04,"nc","Mississippi St.","West Georgia","H","SEC","Atlantic Sun",95,60,65,8,8,16,54,10,20,20,130,82.1,114.1,98.5,73.1,10.8485,348,"Quadrant 4"
"5",2024-11-04,"nc","Seton Hall","Saint Peter's","H","Big East","Metro Atlantic",57,53,44,12,14,37,42,10,19,25,90.2,83.8,89.3,91,63.2,2.3675,234,"Quadrant 4"
"6",2024-11-04,"nc","Western Kentucky","Wichita St.","H","CUSA","American",84,91,68,14,14,34,61,10,14,36,101.1,109.5,104.2,107.8,83.1,-1.92917,108,"Quadrant 3"
"7",2024-11-04,"nc","Harvard","Marist","H","Ivy","Metro Atlantic",79,66,48,5,14,16,63,12,11,10,120.3,100.5,120.2,107.5,65.7,9.0148,195,"Quadrant 4"
"8",2024-11-04,"nc","UNLV","Alabama St.","H","Mountain West","SWAC",93,79,58,13,11,28,61,12,12,20,133,113,121.3,117,69.9,5.77691,255,"Quadrant 4"
"9",2024-11-04,"nc","Maryland","Manhattan","H","Big Ten","Metro Atlantic",79,49,70,16,10,17,59,7,12,15,110.3,68.4,91.2,76.5,71.6,6.68023,258,"Quadrant 4"
"10",2024-11-04,"nc","Georgia","Tennessee Tech","H","SEC","Ohio Valley",83,78,66,16,13,18,61,6,13,11,114.7,107.8,109.5,114,72.4,3.77292,271,"Quadrant 4"
"11",2024-11-04,"nc","New Mexico","Nicholls St.","H","Mountain West","Southland",91,84,81,18,8,32,72,14,17,16,107.8,99.5,104.7,104.3,84.4,4.34125,236,"Quadrant 4"
"12",2024-11-04,"nc","James Madison","Ohio","H","Sun Belt","Mid-American",88,78,57,13,15,26,59,6,9,20,123.2,109.2,124.9,106.2,71.4,10.1128,165,"Quadrant 4"
"13",2024-11-04,"nc","Gonzaga","Baylor","H","WCC","Big 12",101,63,71,17,11,13,62,14,12,20,143.6,89.6,145.1,86.4,70.3,12.7597,24,"Quadrant 1"
"14",2024-11-04,"nc","South Dakota","Southern","H","Summit","SWAC",93,79,62,11,13,32,64,14,17,24,118,100.3,118.2,109.7,78.8,8.84783,239,"Quadrant 4"
"15",2024-11-04,"nc","Duke","Maine","H","ACC","America East",96,62,63,11,13,20,57,7,14,18,130.6,84.3,124.3,98.4,73.5,12.324,224,"Quadrant 4"
"16",2024-11-04,"nc","Boston University","Northeastern","H","Patriot","CAA",72,80,62,14,12,11,47,4,12,22,110.2,122.4,114.2,127.9,65.3,-2.21812,194,"Quadrant 4"
"17",2024-11-04,"nc","Iowa","Texas A&M Commerce","H","Big Ten","Southland",89,67,70,17,14,20,62,12,24,6,116.1,87.4,105.7,105.1,76.7,6.37582,328,"Quadrant 4"
"18",2024-11-04,"nc","Army","Albany","H","Patriot","America East",67,59,50,9,13,28,60,9,9,16,99.3,87.5,91.4,91,67.4,2.91879,240,"Quadrant 4"
"19",2024-11-04,"nc","USC","Chattanooga","H","Big Ten","Southern",77,51,64,10,9,7,54,13,16,19,116.4,77.1,103.7,80.4,66.2,8.05298,201,"Quadrant 4"
"20",2024-11-04,"nc","South Alabama","Central Michigan","H","Sun Belt","Mid-American",70,74,53,8,15,16,52,9,17,17,103.2,109.1,100.2,121.5,67.8,-7.37833,218,"Quadrant 4"
"21",2024-11-04,"nc","San Jose St.","Western Illinois","H","Mountain West","Ohio Valley",55,59,46,6,6,29,51,8,13,10,91.3,97.9,83.5,101.2,60.3,0.47625,294,"Quadrant 4"
"22",2024-11-04,"nc","Dayton","St. Francis PA","H","Atlantic 10","Northeast",87,57,68,17,7,25,58,5,13,11,123.3,80.8,109.3,91.6,70.6,11.9281,320,"Quadrant 4"
"23",2024-11-04,"nc","Boston College","The Citadel","H","ACC","Southern",69,60,54,14,14,28,52,9,14,25,101.3,88.1,93.1,98.4,68.1,7.24903,362,"Quadrant 4"
"24",2024-11-04,"nc","Stanford","Denver","H","ACC","Summit",85,62,65,15,11,18,48,10,20,23,122.8,89.5,109.7,97.1,69.2,9.31019,303,"Quadrant 4"
