"","week","team","opponent","gameLatitude","gameLongitude","milesTraveled"
"1",1,"Air Force","Bucknell",38.9969701,-104.8436165,0
"2",3,"Air Force","Utah State",41.7517394,-111.8116007,413.500578204883
"3",4,"Air Force","Boise State",38.9969701,-104.8436165,0
"4",5,"Air Force","Hawai'i",38.9969701,-104.8436165,0
"5",6,"Air Force","Navy",38.9846985,-76.5076335,1517.18862993624
"6",7,"Air Force","UNLV",36.1672559,-115.1485163,597.40903012153
"7",8,"Air Force","Wyoming",38.9969701,-104.8436165,0
"8",10,"Air Force","Army",38.9969701,-104.8436165,0
"9",11,"Air Force","San José State",37.3196675,-121.8682962,931.811450780414
"10",12,"Air Force","UConn",41.7595675,-72.6187728,1698.73448094014
"11",13,"Air Force","New Mexico",38.9969701,-104.8436165,0
"12",14,"Air Force","Colorado State",40.570015,-105.088435,109.583908607378
"13",1,"Akron","Wyoming",41.0725534,-81.5083408,0
"14",2,"Akron","Nebraska",40.820682,-96.705594,793.182439583868
"15",3,"Akron","UAB",33.5206824,-86.8024326,597.806162709799
"16",4,"Akron","Duquesne",41.0725534,-81.5083408,0
"17",5,"Akron","Toledo",41.6574777,-83.6135652,116.534626404151
"18",6,"Akron","Central Michigan",41.0725534,-81.5083408,0
"19",7,"Akron","Miami (OH)",41.0725534,-81.5083408,0
"20",8,"Akron","Ball State",40.2159422,-85.4161148,213.463122264503
"21",9,"Akron","Buffalo",42.9991334,-78.7775113,193.478509141373
"22",11,"Akron","Massachusetts",41.0725534,-81.5083408,0
"23",12,"Akron","Kent State",41.0725534,-81.5083408,0
"24",13,"Akron","Bowling Green",41.3780114,-83.6225,111.996977764401
"25",1,"Alabama","Florida State",30.4381692,-84.3044032,270.355003835311
"26",2,"Alabama","UL Monroe",33.2082752,-87.5503836,0
"27",3,"Alabama","Wisconsin",33.2082752,-87.5503836,0
"28",5,"Alabama","Georgia",33.9498197,-83.3733813,246.095803044493
"29",6,"Alabama","Vanderbilt",33.2082752,-87.5503836,0
"30",7,"Alabama","Missouri",38.9358491,-92.3332009,477.801588936088
"31",8,"Alabama","Tennessee",33.2082752,-87.5503836,0
"32",9,"Alabama","South Carolina",33.9730239,-81.0191726,379.95970462545
"33",11,"Alabama","LSU",33.2082752,-87.5503836,0
"34",12,"Alabama","Oklahoma",33.2082752,-87.5503836,0
"35",13,"Alabama","Eastern Illinois",33.2082752,-87.5503836,0
"36",14,"Alabama","Auburn",32.6025532,-85.4897479,126.788151158979
"37",1,"App State","Charlotte",35.225833,-80.852778,82.6689969728227
"38",2,"App State","Lindenwood",36.2114267,-81.6854278,0
"39",3,"App State","Southern Miss",31.3289321,-89.3318118,554.077216685217
"40",5,"App State","Boise State",43.6028839,-116.1958882,1886.14821979598
"41",6,"App State","Oregon State",36.2114267,-81.6854278,0
"42",7,"App State","Georgia State",33.735267,-84.389949,229.83455226015
"43",8,"App State","Coastal Carolina",36.2114267,-81.6854278,0
