"","season","first_name","last_name","position","origin","destination","rating","stars","eligibility","transferDate","transferMonth","transferYear","window","type"
"1",2025,"DK","McGruder","CB","Tulane","Mississippi State",NA,3,"Immediate",2025-06-06,"Jun",2025,"Winter","Defense"
"2",2025,"Kheagian","Heckaman","TE","Tennessee State","Prairie View A&M",NA,NA,"Immediate",2025-04-18,"Apr",2025,"Spring","Offense"
"3",2025,"Isaiah","Green","DL","Western Michigan","Memphis",0.85,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Defense"
"4",2025,"Brayden","Ramey","IOL","Florida Atlantic","South Alabama",0.81,3,"Immediate",2025-05-02,"May",2025,"Winter","Offense"
"5",2025,"De'kelvion","Beamon","CB","Oklahoma State","Lamar",NA,3,"Immediate",2025-06-02,"Jun",2025,"Winter","Defense"
"6",2025,"Justus","Boone","EDGE","Florida","Arkansas",0.87,3,"Immediate",2024-12-21,"Dec",2024,"Winter","Defense"
"7",2025,"Elijah","Gunn","DL","Southern Illinois","Cincinnati",NA,NA,"Immediate",2025-04-23,"Apr",2025,"Spring","Defense"
"8",2025,"Isaiah","Johnson","WR","Western Carolina","Cincinnati",NA,NA,"Immediate",2025-04-21,"Apr",2025,"Spring","Offense"
"9",2025,"Isaiah","Rogers","DL","Monmouth","Cincinnati",NA,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Defense"
"10",2025,"Mason","Nelson","DL","Western Michigan","Vanderbilt",0.86,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Defense"
"11",2025,"Darius","Thomas","LB","Louisville","Oklahoma State",0.87,3,"Immediate",2025-04-22,"Apr",2025,"Spring","Defense"
"12",2025,"Sam","Franklin","RB","Oklahoma","South Florida",0.85,3,"Immediate",2025-04-29,"Apr",2025,"Spring","Offense"
"13",2025,"Kenton","Allen","LB","Angelo State","North Texas",0.83,3,"Immediate",2025-04-27,"Apr",2025,"Spring","Defense"
"14",2025,"Patrick","Bowen","RB","LIU Post","St. Thomas",NA,3,"Immediate",2025-05-23,"May",2025,"Winter","Offense"
"15",2025,"Tate","Rodemaker","QB","Southern Miss","Western Carolina",0.83,3,"Immediate",2025-05-16,"May",2025,"Winter","Offense"
"16",2025,"Cade","Fennegan","QB","BYU","Abilene Christian",NA,2,"Immediate",2025-05-23,"May",2025,"Winter","Offense"
"17",2025,"Frank","Mulipola","DL","Texas-Permian Basin","Arkansas",0.85,3,"Immediate",2025-04-22,"Apr",2025,"Spring","Defense"
"18",2025,"Jaiden","Kimble","LB","Kennesaw State","South Carolina State",NA,NA,"Immediate",2025-05-05,"May",2025,"Winter","Defense"
"19",2025,"David","Borchers","DL","Nebraska","Western Illinois",NA,3,"Immediate",2025-04-29,"Apr",2025,"Spring","Defense"
"20",2025,"Eriq","George","EDGE","Tennessee State","Bowling Green",0.82,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Defense"
"21",2025,"James","Shellman","CB","Middle Tennessee","Savannah St",NA,3,"Immediate",2025-04-25,"Apr",2025,"Spring","Defense"
"22",2025,"Jacobe","Robinson","QB","Boston College","Southern Miss",0.85,3,"Immediate",2025-05-20,"May",2025,"Winter","Offense"
"23",2025,"Greg","Johnson II","CB","Navy","South Alabama",0.82,3,"Immediate",2025-05-02,"May",2025,"Winter","Defense"
"24",2025,"Roy","Alexander","WR","Incarnate Word","Texas Tech",0.87,3,"Immediate",2025-04-24,"Apr",2025,"Spring","Offense"
"25",2025,"Jaekwon","Bouldin","OT","Purdue","Mississippi State",0.85,3,"Immediate",2025-04-22,"Apr",2025,"Spring","Offense"
"26",2025,"Keionte","Scott","CB","Houston","Miami",0.86,3,"Immediate",2025-04-28,"Apr",2025,"Spring","Defense"
"27",2025,"Brock","Montgomery","WR","Marshall","Tennessee State",0.85,3,"Immediate",2025-04-26,"Apr",2025,"Spring","Offense"
"28",2025,"Madden","Iamaleava","QB","Arkansas","UCLA",0.87,3,"Immediate",2025-04-21,"Apr",2025,"Spring","Offense"
"29",2025,"Derek","Jensen","OT","Wisconsin","Iowa State",0.87,3,"Immediate",2025-04-22,"Apr",2025,"Spring","Offense"
"30",2025,"Armone","Harris","WR","Clark Atlanta","Johnson C Smith",NA,NA,"Immediate",2025-06-11,"Jun",2025,"Winter","Offense"
"31",2025,"Joseph","Habinowski","IOL","Ohio","Middle Tennessee",0.8,3,"Immediate",2025-04-21,"Apr",2025,"Spring","Offense"
"32",2025,"Tyrell","Reed Jr.","RB","Arkansas","UL Monroe",0.83,3,"Immediate",2025-04-25,"Apr",2025,"Spring","Offense"
"33",2025,"Marques","Easley","IOL","Georgia","Purdue",0.87,3,"Immediate",2025-04-26,"Apr",2025,"Spring","Offense"
"34",2025,"Josiah","Kennard","LS","East Texas A&M","James Madison",NA,NA,"Immediate",2024-12-24,"Dec",2024,"Winter","Specialists"
"35",2025,"Dennis","Moody","RB","North Texas","North Texas",NA,NA,"Immediate",2025-02-01,"Feb",2025,"Winter","Offense"
"36",2025,"Alex","Bray","DL","Illinois","Kansas",0.85,3,"Immediate",2025-04-22,"Apr",2025,"Spring","Defense"
"37",2025,"Isaiah","Gibson Sr.","DL","Marshall","Southern Miss",0.82,3,"Immediate",2024-12-25,"Dec",2024,"Winter","Defense"
"38",2025,"Reese","Osei-Wusu","IOL","Lamar","South Alabama",0.78,2,"Immediate",2025-04-19,"Apr",2025,"Spring","Offense"
"39",2025,"DeKalon","Taylor","RB","Incarnate Word","Colorado",0.86,3,"Immediate",2025-04-24,"Apr",2025,"Spring","Offense"
"40",2025,"Brian","Nelson II","CB","North Texas","NC State",0.88,3,"Immediate",2025-04-24,"Apr",2025,"Spring","Defense"
"41",2025,"Javion","Clark","S","East Carolina","East Tennessee State",NA,3,"Immediate",2025-04-24,"Apr",2025,"Spring","Defense"
"42",2025,"Warren","Smith Jr.","CB","Washington State","Sacramento State",0.83,3,"Immediate",2025-04-20,"Apr",2025,"Spring","Defense"
"43",2025,"Sam","Neely III","CB","Wake Forest","Stanford",0.85,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Defense"
"44",2025,"Trey","Lenhardt","S","App State","Samford",NA,3,"Immediate",2025-04-24,"Apr",2025,"Spring","Defense"
"45",2025,"De'Myrion","Johnson","DL","LSU","Southern",NA,3,"Immediate",2025-05-07,"May",2025,"Winter","Defense"
"46",2025,"Jackson","Bussey","EDGE","App State","Samford",NA,3,"Immediate",2025-04-22,"Apr",2025,"Spring","Defense"
"47",2025,"Zach","Rice","IOL","North Carolina","Syracuse",0.86,3,"Immediate",2025-04-30,"Apr",2025,"Spring","Offense"
"48",2025,"Jack","Endries","TE","California","Texas",0.91,4,"Immediate",2025-04-18,"Apr",2025,"Spring","Offense"
"49",2025,"Marcellus","Nash","EDGE","James Madison","Hampton",NA,3,"Immediate",2025-05-06,"May",2025,"Winter","Defense"
"50",2025,"Nick","Taylor","CB","App State","West Virginia",0.85,3,"Immediate",2025-04-19,"Apr",2025,"Spring","Defense"
"51",2025,"Will","O'Steen","OT","Jacksonville State","North Carolina",0.86,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Offense"
"52",2025,"Jace","Wilson","QB","Texas Southern","Tennessee Tech",NA,NA,"Immediate",2025-04-19,"Apr",2025,"Spring","Offense"
"53",2025,"Keyan","Burnett","TE","Kansas","Arizona",0.89,3,"Immediate",2025-04-28,"Apr",2025,"Spring","Offense"
"54",2025,"Curtis","Douglas","RB","Kent State","Fort Hays State",NA,3,"Immediate",2025-05-20,"May",2025,"Winter","Offense"
"55",2025,"Mark","Cannon Jr.","CB","Illinois State","Bowling Green",0.85,3,"Immediate",2025-04-28,"Apr",2025,"Spring","Defense"
"56",2025,"Jacarvis","Alexandre","CB","Ferris State","Jacksonville State",0.83,3,"Immediate",2025-04-18,"Apr",2025,"Spring","Defense"
"57",2025,"Tyler","Kirkwood","WR","Southern","Baylor",0.84,3,"Immediate",2025-05-01,"May",2025,"Winter","Offense"
"58",2025,"Ray'Quan","Bell","IOL","Houston","Prairie View A&M",NA,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Offense"
"59",2025,"Chase","Barry","P","UCLA","Oklahoma State",NA,NA,"Immediate",2025-06-22,"Jun",2025,"Winter","Specialists"
"60",2025,"Porter","Small","EDGE","BYU","Weber State",NA,3,"Immediate",2025-04-18,"Apr",2025,"Spring","Defense"
"61",2025,"Nathan","Knapik","OT","Idaho","Illinois",0.85,3,"Immediate",2025-04-26,"Apr",2025,"Spring","Offense"
"62",2025,"Reese","Clark","TE","Temple","Delaware State",NA,3,"Immediate",2025-06-08,"Jun",2025,"Winter","Offense"
"63",2025,"Dillon","Hipp","TE","Ole Miss","Missouri State",NA,3,"Immediate",2025-04-22,"Apr",2025,"Spring","Offense"
"64",2025,"Nathan","Pritchard","OT","Washington State","Idaho",NA,3,"Immediate",2025-04-18,"Apr",2025,"Spring","Offense"
"65",2025,"Isaiah","Patterson","LB","UCLA","UNLV",0.85,3,"Immediate",2025-04-18,"Apr",2025,"Spring","Defense"
"66",2025,"Austin","Collins","IOL","Louisville","Syracuse",0.86,3,"Immediate",2025-04-19,"Apr",2025,"Spring","Offense"
"67",2025,"Daniel","Ogundipe","OT","Florida International","Albany",NA,3,"Immediate",2025-05-08,"May",2025,"Winter","Offense"
"68",2025,"Kamal","Bonner","LB","NC State","Miami",0.88,3,"Immediate",2025-04-21,"Apr",2025,"Spring","Defense"
"69",2025,"Max","Drag","TE","App State","UCF",0.85,3,"Immediate",2025-04-28,"Apr",2025,"Spring","Offense"
"70",2025,"William","Jones","IOL","Massachusetts","Merrimack",NA,NA,"Immediate",2025-04-23,"Apr",2025,"Spring","Offense"
"71",2025,"Ben","Gulbranson","QB","Oregon State","Stanford",0.86,3,"Immediate",2025-04-26,"Apr",2025,"Spring","Offense"
"72",2025,"Chase","Pinkston","S","Oklahoma State","Memphis",0.84,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Defense"
"73",2025,"Nasir","Smith","DL","Georgia Southern","Kennesaw State",0.82,3,"Immediate",2025-04-18,"Apr",2025,"Spring","Defense"
"74",2025,"Ty","Hudkins","S","Purdue","Iowa",0.85,3,"Immediate",2025-04-29,"Apr",2025,"Spring","Defense"
"75",2025,"Dylan","Shaw","IOL","Texas Tech","North Texas",0.8,3,"Immediate",2025-04-29,"Apr",2025,"Spring","Offense"
"76",2025,"John","Gayer","EDGE","California","Utah State",0.79,2,"Immediate",2025-04-28,"Apr",2025,"Spring","Defense"
"77",2025,"Terik","Mulder","TE","Limestone","Kent State",0.81,3,"Immediate",2025-04-18,"Apr",2025,"Spring","Offense"
"78",2025,"Elijah","Davis","S","Ball State","Robert Morris",NA,2,"Immediate",2025-06-07,"Jun",2025,"Winter","Defense"
"79",2025,"Joseph","Jefferson II","S","Western Michigan","Louisville",0.86,3,"Immediate",2025-04-26,"Apr",2025,"Spring","Defense"
"80",2025,"Jakwon","McGinney","DL","Arkansas State","Georgia Southern",0.84,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Defense"
"81",2025,"Arrion","Concepcion","WR","Kansas State","James Madison",0.84,3,"Immediate",2025-05-18,"May",2025,"Winter","Offense"
"82",2025,"Jaffer","Murphy","K","North Carolina","UTSA",NA,NA,"Immediate",2025-05-08,"May",2025,"Winter","Specialists"
"83",2025,"Trey","Horne","WR","Georgia Tech","Southern Miss",NA,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Offense"
"84",2025,"Cole","Gustafson","DL","Florida International","UTEP",0.79,2,"Immediate",2025-05-12,"May",2025,"Winter","Defense"
"85",2025,"Jack","Howes","K","Maryland","Buffalo",NA,NA,"Immediate",2025-04-23,"Apr",2025,"Spring","Specialists"
"86",2025,"Quincy","Brown","WR","Texas State","Florida Atlantic",0.86,3,"Immediate",2025-04-18,"Apr",2025,"Spring","Offense"
"87",2025,"DJ","Williams","RB","Ball State","Sacred Heart",NA,3,"Immediate",2025-05-01,"May",2025,"Winter","Offense"
"88",2025,"Anthony","Grigsby Jr.","QB","Nevada","Cal Poly",NA,2,"Immediate",2025-04-18,"Apr",2025,"Spring","Offense"
"89",2025,"Lukas","Ungar","TE","Stanford","New Mexico State",0.81,3,"Immediate",2025-05-11,"May",2025,"Winter","Offense"
"90",2025,"Michael","Short","LB","North Carolina","Virginia Tech",0.86,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Defense"
"91",2025,"Jaden","Rashada","QB","Georgia","Sacramento State",0.89,3,"Immediate",2025-04-25,"Apr",2025,"Spring","Offense"
"92",2025,"Maurice","Williams II","S","Houston","Arizona State",0.85,3,"Immediate",2025-04-25,"Apr",2025,"Spring","Defense"
"93",2025,"Jack","Mowrey","LS","James Madison","Hawai'i",NA,NA,"Immediate",2025-04-26,"Apr",2025,"Spring","Specialists"
"94",2025,"Kadarius","Calloway","RB","California","New Mexico State",0.83,3,"Immediate",2025-04-30,"Apr",2025,"Spring","Offense"
"95",2025,"Rashad","Amos","RB","Memphis","Georgia State",0.86,3,"Immediate",2025-04-18,"Apr",2025,"Spring","Offense"
"96",2025,"Joseph","Adedire","EDGE","Texas Tech","NC State",0.87,3,"Immediate",2025-04-23,"Apr",2025,"Spring","Defense"
"97",2025,"Aymeric","Koumba","EDGE","Michigan","UCF",0.86,3,"Immediate",2025-04-19,"Apr",2025,"Spring","Defense"
"98",2025,"Chase","Stevens","IOL","Florida","Kennesaw State",0.8,3,"Immediate",2025-04-22,"Apr",2025,"Spring","Offense"
"99",2025,"Joah","Cash","EDGE","Coastal Carolina","Tulsa",0.84,3,"Immediate",2025-05-02,"May",2025,"Winter","Defense"
"100",2025,"Elhadj","Fall","DL","Georgia Southern","Virginia Tech",0.85,3,"Immediate",2025-04-27,"Apr",2025,"Spring","Defense"
"101",2025,"Emmett","Morehead","QB","Old Dominion","Minnesota",0.8,3,"Immediate",2025-04-25,"Apr",2025,"Spring","Offense"
"102",2025,"Edwin","White Schultz","S","North Alabama","Keiser (Fl)",0.85,3,"Immediate",2025-05-31,"May",2025,"Winter","Defense"
"103",2025,"Jackson","Runyan","K","Navy","Trinity (Texas)",NA,NA,"Immediate",2025-04-22,"Apr",2025,"Spring","Specialists"
"104",2025,"Jeff","Burton","IOL","Kent State","Georgia State",0.82,3,"Immediate",2025-05-01,"May",2025,"Winter","Offense"
