"","school","incomingCount","incomingAvgRating","incomingOffense","incomingDefense","incomingSpecialists","outgoingCount","outgoingAvgRating","outgoingOffense","outgoingDefense","outgoingSpecialists","delta","deltaOffense","deltaDefense","deltaSpecialists"
"1","Oregon",11,0.903,6,4,1,11,0.878571428571429,2,7,2,0,4,-3,-1
"2","LSU",18,0.899411764705882,8,9,1,22,0.861111111111111,8,13,1,-4,0,-4,0
"3","Miami",18,0.892941176470588,8,9,1,18,0.863125,7,10,1,0,1,-1,0
"4","Texas Tech",21,0.887619047619048,10,10,1,20,0.845,12,8,0,1,-2,2,1
"5","Ohio State",11,0.885555555555556,6,3,2,14,0.851538461538462,7,5,2,-3,-1,-2,0
"6","Texas A&M",13,0.883076923076923,7,6,0,24,0.8695,15,8,1,-11,-8,-2,-1
"7","Georgia",10,0.883,5,5,0,20,0.883333333333333,9,10,1,-10,-4,-5,-1
"8","Texas",11,0.88,3,6,2,12,0.857,2,8,2,-1,1,-2,0
"9","Alabama",11,0.879090909090909,8,3,0,24,0.88304347826087,13,11,0,-13,-5,-8,0
"10","Florida State",22,0.879090909090909,13,9,0,30,0.866538461538461,15,15,0,-8,-2,-6,0
"11","Penn State",8,0.8775,4,4,0,16,0.875454545454545,7,8,1,-8,-3,-4,-1
"12","South Carolina",18,0.877222222222222,8,10,0,22,0.844117647058824,15,7,0,-4,-7,3,0
"13","Ole Miss",28,0.876785714285714,17,11,0,23,0.857647058823529,15,8,0,5,2,3,0
"14","Auburn",20,0.875263157894737,9,9,2,25,0.853913043478261,14,11,0,-5,-5,-2,2
"15","Kentucky",25,0.8728,17,8,0,30,0.853846153846154,17,12,1,-5,0,-4,-1
"16","Nebraska",15,0.872666666666667,5,8,2,32,0.86,16,14,2,-17,-11,-6,0
"17","USC",15,0.871333333333333,6,8,1,24,0.876666666666667,14,9,1,-9,-8,-1,0
"18","Oklahoma",20,0.871111111111111,14,3,3,27,0.867307692307692,20,7,0,-7,-6,-4,3
"19","Clemson",3,0.87,1,2,0,9,0.862857142857143,3,5,1,-6,-2,-3,-1
"20","Missouri",21,0.87,11,9,1,20,0.866,6,11,3,1,5,-2,-2
"21","Notre Dame",8,0.87,3,4,1,13,0.865454545454545,7,4,2,-5,-4,0,-1
"22","Maryland",15,0.869333333333333,7,8,0,29,0.85,18,10,1,-14,-11,-2,-1
"23","North Carolina",39,0.868888888888889,18,18,3,38,0.852,18,14,6,1,0,4,-3
"24","Mississippi State",32,0.868333333333333,17,14,1,32,0.85,20,11,1,0,-3,3,0
"25","Wisconsin",18,0.866111111111111,6,12,0,30,0.862,15,14,1,-12,-9,-2,-1
"26","Arkansas",31,0.865862068965517,17,13,1,35,0.860384615384615,22,12,1,-4,-5,1,0
"27","Tennessee",7,0.865714285714286,5,2,0,21,0.874736842105263,13,8,0,-14,-8,-6,0
"28","SMU",20,0.865263157894737,8,12,0,14,0.840833333333333,7,7,0,6,1,5,0
"29","TCU",11,0.864545454545455,6,5,0,17,0.843571428571429,9,8,0,-6,-3,-3,0
"30","Colorado",33,0.864193548387097,17,14,2,25,0.8505,15,10,0,8,2,4,2
"31","Vanderbilt",20,0.863888888888889,10,8,2,16,0.840769230769231,6,9,1,4,4,-1,1
"32","Indiana",23,0.863809523809524,12,8,3,24,0.832352941176471,12,12,0,-1,0,-4,3
"33","Iowa State",8,0.86375,4,4,0,15,0.855,5,8,2,-7,-1,-4,-2
"34","Illinois",18,0.863333333333333,9,6,3,19,0.841818181818182,13,4,2,-1,-4,2,1
"35","Minnesota",21,0.862777777777778,12,6,3,18,0.846923076923077,10,7,1,3,2,-1,2
"36","Syracuse",16,0.862666666666667,9,6,1,20,0.852857142857143,11,8,1,-4,-2,-2,0
"37","Utah",21,0.862631578947368,12,7,2,29,0.84875,16,12,1,-8,-4,-5,1
"38","Iowa",9,0.862222222222222,5,4,0,21,0.846666666666667,13,7,1,-12,-8,-3,-1
"39","Washington",18,0.862142857142857,5,9,4,24,0.8605,10,13,1,-6,-5,-4,3
"40","Michigan",16,0.862,9,6,1,26,0.845,14,11,1,-10,-5,-5,0
"41","Georgia Tech",23,0.861904761904762,10,12,1,26,0.8485,14,12,0,-3,-4,0,1
"42","Virginia",31,0.861666666666667,14,16,1,17,0.847777777777778,10,7,0,14,4,9,1
"43","UCLA",30,0.861379310344828,13,15,2,25,0.856470588235294,13,8,4,5,0,7,-2
"44","Michigan State",23,0.860434782608696,10,13,0,20,0.848571428571429,10,9,1,3,0,4,-1
"45","Houston",28,0.860416666666667,11,15,2,25,0.855714285714286,10,14,1,3,1,1,1
"46","Oregon State",14,0.86,8,6,0,12,0.85,6,6,0,2,2,0,0
"47","Louisville",29,0.859655172413793,15,14,0,24,0.856521739130435,15,9,0,5,0,5,0
"48","Kansas State",16,0.858666666666667,9,7,0,20,0.848333333333333,12,8,0,-4,-3,-1,0
"49","Virginia Tech",30,0.858275862068966,12,17,1,28,0.851304347826087,14,14,0,2,-2,3,1
"50","Duke",9,0.857777777777778,6,3,0,8,0.85,6,1,1,1,0,2,-1
"51","NC State",17,0.857647058823529,5,12,0,18,0.871538461538461,9,9,0,-1,-4,3,0
"52","Oklahoma State",40,0.857222222222222,20,18,2,28,0.844210526315789,11,16,1,12,9,2,1
"53","Pittsburgh",14,0.857142857142857,7,7,0,22,0.845625,14,8,0,-8,-7,-1,0
"54","California",36,0.856774193548387,18,13,5,29,0.851666666666667,20,6,3,7,-2,7,2
"55","Cincinnati",20,0.856666666666667,9,9,2,13,0.841111111111111,6,6,1,7,3,3,1
"56","Rutgers",18,0.856470588235294,8,9,1,20,0.835714285714286,9,11,0,-2,-1,-2,1
"57","Baylor",22,0.856190476190476,8,13,1,14,0.85,5,9,0,8,3,4,1
"58","UCF",38,0.855,17,18,3,38,0.851428571428571,17,16,5,0,0,2,-2
"59","Arizona",29,0.854642857142857,18,11,0,29,0.85235294117647,13,16,0,0,5,-5,0
"60","Wake Forest",33,0.854375,18,14,1,24,0.861578947368421,15,8,1,9,3,6,0
"61","Kansas",26,0.854166666666667,11,13,2,15,0.846,6,7,2,11,5,6,0
"62","West Virginia",50,0.854166666666667,27,21,2,47,0.849444444444444,26,21,0,3,1,0,2
"63","Florida",7,0.854,2,4,1,18,0.868461538461539,7,10,1,-11,-5,-6,0
"64","Purdue",51,0.853877551020408,24,25,2,50,0.851363636363636,27,22,1,1,-3,3,1
"65","Arizona State",17,0.853529411764706,10,6,1,18,0.830833333333333,9,9,0,-1,1,-3,1
"66","Stanford",17,0.85235294117647,12,5,0,21,0.852105263157895,16,4,1,-4,-4,1,-1
"67","Boston College",15,0.852142857142857,7,8,0,16,0.844545454545454,8,8,0,-1,-1,0,0
"68","Boise State",12,0.85,2,9,1,14,0.836,4,9,1,-2,-2,0,0
"69","Northwestern",14,0.85,9,5,0,11,0.854444444444444,7,4,0,3,2,1,0
"70","Memphis",35,0.842592592592593,12,22,1,25,0.840625,10,14,1,10,2,8,0
"71","Washington State",33,0.8424,12,19,2,48,0.855483870967742,22,22,4,-15,-10,-3,-2
"72","UNLV",40,0.841111111111111,19,19,2,29,0.845,15,12,2,11,4,7,0
"73","BYU",13,0.840769230769231,6,7,0,25,0.84,12,10,3,-12,-6,-3,-3
"74","UTSA",20,0.840666666666667,8,11,1,16,0.8575,7,7,2,4,1,4,-1
"75","South Florida",21,0.84,8,13,0,20,0.8525,7,9,4,1,1,4,-4
"76","James Madison",29,0.839,13,14,2,20,0.84,10,7,3,9,3,7,-1
"77","San José State",13,0.83875,6,5,2,12,0.87,7,5,0,1,-1,0,2
"78","Tulane",30,0.838695652173913,16,13,1,23,0.855625,10,11,2,7,6,2,-1
"79","Colorado State",17,0.838571428571429,6,10,1,12,0.85,7,5,0,5,-1,5,1
"80","Coastal Carolina",30,0.838333333333333,11,19,0,41,0.839444444444444,23,16,2,-11,-12,3,-2
"81","Georgia State",26,0.837272727272727,16,8,2,26,0.847692307692308,13,12,1,0,3,-4,1
"82","Temple",24,0.837,11,13,0,17,0.840909090909091,6,9,2,7,5,4,-2
"83","Troy",16,0.836363636363636,10,6,0,23,0.850833333333333,10,12,1,-7,0,-6,-1
"84","Florida International",23,0.835454545454545,11,10,2,28,0.848125,17,10,1,-5,-6,0,1
"85","UConn",23,0.835294117647059,9,14,0,15,0.854285714285714,5,9,1,8,4,5,-1
"86","Louisiana",5,0.835,4,1,0,11,0.8525,7,4,0,-6,-3,-3,0
"87","Missouri State",14,0.835,8,6,0,8,0.841428571428571,3,5,0,6,5,1,0
"88","Bowling Green",21,0.83421052631579,8,13,0,19,0.848333333333333,9,10,0,2,-1,3,0
"89","Charlotte",34,0.833793103448276,14,18,2,30,0.850555555555556,14,15,1,4,0,3,1
"90","Middle Tennessee",12,0.833333333333333,11,1,0,25,0.83375,14,10,1,-13,-3,-9,-1
"91","UAB",28,0.833157894736842,11,17,0,25,0.84235294117647,14,11,0,3,-3,6,0
"92","Florida Atlantic",37,0.8328,14,21,2,26,0.838461538461538,14,10,2,11,0,11,0
"93","Southern Miss",52,0.83275,26,25,1,29,0.828235294117647,13,13,3,23,13,12,-2
"94","Fresno State",21,0.832307692307692,11,10,0,18,0.839,13,4,1,3,-2,6,-1
"95","San Diego State",18,0.832307692307692,11,7,0,15,0.835,8,7,0,3,3,0,0
"96","Georgia Southern",16,0.832222222222222,6,10,0,14,0.83375,5,9,0,2,1,1,0
"97","New Mexico",35,0.832222222222222,17,17,1,24,0.845714285714286,13,10,1,11,4,7,0
"98","Miami (OH)",17,0.832142857142857,13,4,0,9,0.8875,5,3,1,8,8,1,-1
"99","UTEP",26,0.831875,9,17,0,30,0.84,11,17,2,-4,-2,0,-2
"100","Central Michigan",10,0.831666666666667,5,5,0,11,0.837142857142857,8,3,0,-1,-3,2,0
"101","Liberty",21,0.831666666666667,9,10,2,20,0.8475,10,10,0,1,-1,0,2
"102","Western Michigan",23,0.831428571428571,10,13,0,19,0.842857142857143,7,11,1,4,3,2,-1
"103","Wyoming",17,0.831428571428571,6,11,0,17,0.847777777777778,5,12,0,0,1,-1,0
"104","Western Kentucky",42,0.830909090909091,21,20,1,29,0.838888888888889,15,14,0,13,6,6,1
"105","UL Monroe",14,0.830769230769231,8,6,0,11,0.85375,9,2,0,3,-1,4,0
"106","App State",32,0.830740740740741,16,15,1,36,0.849444444444444,15,21,0,-4,1,-6,1
"107","Toledo",19,0.830625,9,9,1,11,0.825,3,8,0,8,6,1,1
"108","Tulsa",31,0.83037037037037,19,11,1,23,0.85,17,6,0,8,2,5,1
"109","East Carolina",22,0.83,8,11,3,25,0.848181818181818,8,16,1,-3,0,-5,2
"110","Ball State",22,0.829285714285714,12,9,1,25,0.849090909090909,15,9,1,-3,-3,0,0
"111","North Texas",34,0.828846153846154,12,22,0,38,0.841052631578947,19,18,1,-4,-7,4,-1
"112","Nevada",21,0.828666666666667,9,12,0,17,0.862222222222222,8,9,0,4,1,3,0
"113","Marshall",48,0.8284,21,26,1,41,0.844545454545454,17,22,2,7,4,4,-1
"114","Texas State",33,0.827826086956522,12,21,0,28,0.851578947368421,11,13,4,5,1,8,-4
"115","Arkansas State",31,0.825714285714286,15,16,0,22,0.8425,10,10,2,9,5,6,-2
"116","Akron",17,0.825,10,6,1,15,0.841111111111111,8,6,1,2,2,0,0
"117","Delaware",8,0.825,4,4,0,3,0.84,1,2,0,5,3,2,0
"118","Eastern Michigan",20,0.825,10,8,2,28,0.838666666666667,12,15,1,-8,-2,-7,1
"119","Kent State",11,0.825,6,5,0,23,0.84,11,11,1,-12,-5,-6,-1
"120","Old Dominion",12,0.825,6,5,1,22,0.839285714285714,9,12,1,-10,-3,-7,0
"121","Jacksonville State",22,0.824375,10,12,0,21,0.846470588235294,11,10,0,1,-1,2,0
"122","Louisiana Tech",9,0.824285714285714,4,4,1,25,0.84,10,14,1,-16,-6,-10,0
"123","New Mexico State",20,0.823846153846154,12,8,0,26,0.847333333333333,14,12,0,-6,-2,-4,0
"124","Massachusetts",35,0.823636363636364,16,15,4,22,0.843333333333333,12,10,0,13,4,5,4
"125","South Alabama",23,0.822857142857143,11,12,0,18,0.849333333333333,7,10,1,5,4,2,-1
"126","Hawai'i",13,0.8225,5,7,1,14,0.846666666666667,7,7,0,-1,-2,0,1
"127","Ohio",20,0.8225,9,10,1,14,0.842222222222222,3,9,2,6,6,1,-1
"128","Sam Houston",26,0.820555555555556,13,12,1,23,0.842,10,13,0,3,3,-1,1
"129","Northern Illinois",5,0.82,1,3,1,21,0.855454545454545,11,10,0,-16,-10,-7,1
"130","Rice",10,0.81875,5,4,1,15,0.838181818181818,11,4,0,-5,-6,0,1
"131","Kennesaw State",27,0.818,15,10,2,17,0.83375,9,5,3,10,6,5,-1
"132","Buffalo",8,0.816666666666667,3,4,1,5,0.805,3,1,1,3,0,3,0
"133","Utah State",24,0.816666666666667,10,11,3,33,0.845454545454545,11,21,1,-9,-1,-10,2
"134","Air Force",0,0,0,0,0,5,0.833333333333333,1,3,1,-5,-1,-3,-1
"135","Army",0,0,0,0,0,8,0.86,4,4,0,-8,-4,-4,0
"136","Navy",0,0,0,0,0,5,0.82,2,2,1,-5,-2,-2,-1
