"","team","position","type","count"
"1","Abilene Christian","DL","Incoming",0
"2","Abilene Christian","DL","Outgoing",2
"3","Abilene Christian","DL","Delta",-2
"4","Abilene Christian","EDGE","Incoming",0
"5","Abilene Christian","EDGE","Outgoing",1
"6","Abilene Christian","EDGE","Delta",-1
"7","Abilene Christian","IOL","Incoming",2
"8","Abilene Christian","IOL","Outgoing",2
"9","Abilene Christian","IOL","Delta",0
"10","Abilene Christian","LB","Incoming",2
"11","Abilene Christian","LB","Outgoing",0
"12","Abilene Christian","LB","Delta",2
"13","Abilene Christian","OT","Incoming",2
"14","Abilene Christian","OT","Outgoing",0
"15","Abilene Christian","OT","Delta",2
"16","Abilene Christian","QB","Incoming",2
"17","Abilene Christian","QB","Outgoing",1
"18","Abilene Christian","QB","Delta",1
"19","Abilene Christian","S","Incoming",1
"20","Abilene Christian","S","Outgoing",0
"21","Abilene Christian","S","Delta",1
"22","Abilene Christian","TE","Incoming",1
"23","Abilene Christian","TE","Outgoing",0
"24","Abilene Christian","TE","Delta",1
"25","Abilene Christian","WR","Incoming",3
"26","Abilene Christian","WR","Outgoing",0
"27","Abilene Christian","WR","Delta",3
"28","Adams State","P","Incoming",0
"29","Adams State","P","Outgoing",1
"30","Adams State","P","Delta",-1
"31","Air Force","ATH","Incoming",0
"32","Air Force","ATH","Outgoing",1
"33","Air Force","ATH","Delta",-1
"34","Air Force","EDGE","Incoming",0
"35","Air Force","EDGE","Outgoing",1
"36","Air Force","EDGE","Delta",-1
"37","Air Force","OT","Incoming",0
"38","Air Force","OT","Outgoing",1
"39","Air Force","OT","Delta",-1
"40","Air Force","S","Incoming",0
"41","Air Force","S","Outgoing",2
"42","Air Force","S","Delta",-2
"43","Akron","CB","Incoming",1
"44","Akron","CB","Outgoing",2
"45","Akron","CB","Delta",-1
"46","Akron","EDGE","Incoming",1
"47","Akron","EDGE","Outgoing",1
"48","Akron","EDGE","Delta",0
"49","Akron","IOL","Incoming",2
"50","Akron","IOL","Outgoing",2
"51","Akron","IOL","Delta",0
"52","Akron","K","Incoming",1
"53","Akron","K","Outgoing",1
"54","Akron","K","Delta",0
"55","Akron","LB","Incoming",1
"56","Akron","LB","Outgoing",2
"57","Akron","LB","Delta",-1
"58","Akron","OT","Incoming",2
"59","Akron","OT","Outgoing",0
"60","Akron","OT","Delta",2
"61","Akron","QB","Incoming",1
"62","Akron","QB","Outgoing",1
"63","Akron","QB","Delta",0
"64","Akron","RB","Incoming",2
"65","Akron","RB","Outgoing",1
"66","Akron","RB","Delta",1
"67","Akron","S","Incoming",3
"68","Akron","S","Outgoing",1
"69","Akron","S","Delta",2
"70","Akron","WR","Incoming",3
"71","Akron","WR","Outgoing",4
"72","Akron","WR","Delta",-1
"73","Alabama","CB","Incoming",1
"74","Alabama","CB","Outgoing",1
"75","Alabama","CB","Delta",0
"76","Alabama","DL","Incoming",1
"77","Alabama","DL","Outgoing",3
"78","Alabama","DL","Delta",-2
"79","Alabama","EDGE","Incoming",0
"80","Alabama","EDGE","Outgoing",2
"81","Alabama","EDGE","Delta",-2
"82","Alabama","IOL","Incoming",1
"83","Alabama","IOL","Outgoing",0
"84","Alabama","IOL","Delta",1
"85","Alabama","LB","Incoming",1
"86","Alabama","LB","Outgoing",3
"87","Alabama","LB","Delta",-2
"88","Alabama","OT","Incoming",2
"89","Alabama","OT","Outgoing",3
"90","Alabama","OT","Delta",-1
"91","Alabama","QB","Incoming",0
"92","Alabama","QB","Outgoing",1
"93","Alabama","QB","Delta",-1
"94","Alabama","RB","Incoming",1
"95","Alabama","RB","Outgoing",2
"96","Alabama","RB","Delta",-1
"97","Alabama","S","Incoming",0
"98","Alabama","S","Outgoing",2
"99","Alabama","S","Delta",-2
"100","Alabama","TE","Incoming",3
"101","Alabama","TE","Outgoing",1
"102","Alabama","TE","Delta",2
"103","Alabama","WR","Incoming",1
"104","Alabama","WR","Outgoing",6
"105","Alabama","WR","Delta",-5
"106","Alabama A&M","CB","Incoming",0
"107","Alabama A&M","CB","Outgoing",1
"108","Alabama A&M","CB","Delta",-1
"109","Alabama A&M","DL","Incoming",0
"110","Alabama A&M","DL","Outgoing",3
"111","Alabama A&M","DL","Delta",-3
"112","Alabama A&M","EDGE","Incoming",1
"113","Alabama A&M","EDGE","Outgoing",2
"114","Alabama A&M","EDGE","Delta",-1
"115","Alabama A&M","IOL","Incoming",0
"116","Alabama A&M","IOL","Outgoing",2
"117","Alabama A&M","IOL","Delta",-2
"118","Alabama A&M","OT","Incoming",0
"119","Alabama A&M","OT","Outgoing",1
"120","Alabama A&M","OT","Delta",-1
"121","Alabama A&M","QB","Incoming",1
"122","Alabama A&M","QB","Outgoing",0
"123","Alabama A&M","QB","Delta",1
"124","Alabama A&M","S","Incoming",0
"125","Alabama A&M","S","Outgoing",1
"126","Alabama A&M","S","Delta",-1
"127","Alabama State","CB","Incoming",2
"128","Alabama State","CB","Outgoing",2
"129","Alabama State","CB","Delta",0
"130","Alabama State","DL","Incoming",0
"131","Alabama State","DL","Outgoing",3
"132","Alabama State","DL","Delta",-3
"133","Alabama State","IOL","Incoming",0
"134","Alabama State","IOL","Outgoing",1
"135","Alabama State","IOL","Delta",-1
"136","Alabama State","QB","Incoming",2
"137","Alabama State","QB","Outgoing",0
"138","Alabama State","QB","Delta",2
"139","Alabama State","RB","Incoming",1
"140","Alabama State","RB","Outgoing",0
"141","Alabama State","RB","Delta",1
"142","Alabama State","S","Incoming",1
"143","Alabama State","S","Outgoing",0
"144","Alabama State","S","Delta",1
"145","Albany","CB","Incoming",1
"146","Albany","CB","Outgoing",1
"147","Albany","CB","Delta",0
"148","Albany","IOL","Incoming",0
"149","Albany","IOL","Outgoing",1
"150","Albany","IOL","Delta",-1
"151","Albany","LB","Incoming",0
"152","Albany","LB","Outgoing",1
"153","Albany","LB","Delta",-1
"154","Albany","OT","Incoming",1
"155","Albany","OT","Outgoing",1
"156","Albany","OT","Delta",0
"157","Albany","QB","Incoming",2
"158","Albany","QB","Outgoing",0
"159","Albany","QB","Delta",2
"160","Albany","WR","Incoming",0
"161","Albany","WR","Outgoing",1
"162","Albany","WR","Delta",-1
"163","Alcorn State","EDGE","Incoming",0
"164","Alcorn State","EDGE","Outgoing",1
"165","Alcorn State","EDGE","Delta",-1
"166","Alcorn State","IOL","Incoming",1
"167","Alcorn State","IOL","Outgoing",0
"168","Alcorn State","IOL","Delta",1
"169","Alcorn State","OT","Incoming",0
"170","Alcorn State","OT","Outgoing",1
"171","Alcorn State","OT","Delta",-1
"172","Alcorn State","QB","Incoming",0
"173","Alcorn State","QB","Outgoing",1
"174","Alcorn State","QB","Delta",-1
"175","Alcorn State","S","Incoming",1
"176","Alcorn State","S","Outgoing",0
"177","Alcorn State","S","Delta",1
"178","Alcorn State","WR","Incoming",2
"179","Alcorn State","WR","Outgoing",0
"180","Alcorn State","WR","Delta",2
"181","Anderson","RB","Incoming",1
"182","Anderson","RB","Outgoing",0
"183","Anderson","RB","Delta",1
"184","Anderson","WR","Incoming",1
"185","Anderson","WR","Outgoing",0
"186","Anderson","WR","Delta",1
"187","Angelo State","LB","Incoming",0
"188","Angelo State","LB","Outgoing",1
"189","Angelo State","LB","Delta",-1
"190","Angelo State","LS","Incoming",0
"191","Angelo State","LS","Outgoing",1
"192","Angelo State","LS","Delta",-1
"193","App State","CB","Incoming",3
"194","App State","CB","Outgoing",3
"195","App State","CB","Delta",0
"196","App State","DL","Incoming",3
"197","App State","DL","Outgoing",6
"198","App State","DL","Delta",-3
"199","App State","EDGE","Incoming",3
"200","App State","EDGE","Outgoing",2
"201","App State","EDGE","Delta",1
"202","App State","IOL","Incoming",5
"203","App State","IOL","Outgoing",4
"204","App State","IOL","Delta",1
"205","App State","LB","Incoming",3
"206","App State","LB","Outgoing",6
"207","App State","LB","Delta",-3
"208","App State","OT","Incoming",1
"209","App State","OT","Outgoing",3
"210","App State","OT","Delta",-2
"211","App State","P","Incoming",1
"212","App State","P","Outgoing",0
"213","App State","P","Delta",1
"214","App State","QB","Incoming",2
"215","App State","QB","Outgoing",1
"216","App State","QB","Delta",1
"217","App State","RB","Incoming",2
"218","App State","RB","Outgoing",1
"219","App State","RB","Delta",1
"220","App State","S","Incoming",3
"221","App State","S","Outgoing",4
"222","App State","S","Delta",-1
"223","App State","TE","Incoming",2
"224","App State","TE","Outgoing",1
"225","App State","TE","Delta",1
"226","App State","WR","Incoming",4
"227","App State","WR","Outgoing",5
"228","App State","WR","Delta",-1
"229","Arizona","CB","Incoming",3
"230","Arizona","CB","Outgoing",4
"231","Arizona","CB","Delta",-1
"232","Arizona","DL","Incoming",2
"233","Arizona","DL","Outgoing",5
"234","Arizona","DL","Delta",-3
"235","Arizona","EDGE","Incoming",3
"236","Arizona","EDGE","Outgoing",3
"237","Arizona","EDGE","Delta",0
"238","Arizona","IOL","Incoming",5
"239","Arizona","IOL","Outgoing",3
"240","Arizona","IOL","Delta",2
"241","Arizona","LB","Incoming",2
"242","Arizona","LB","Outgoing",3
"243","Arizona","LB","Delta",-1
"244","Arizona","OT","Incoming",3
"245","Arizona","OT","Outgoing",1
"246","Arizona","OT","Delta",2
"247","Arizona","QB","Incoming",1
"248","Arizona","QB","Outgoing",2
"249","Arizona","QB","Delta",-1
"250","Arizona","RB","Incoming",3
"251","Arizona","RB","Outgoing",2
"252","Arizona","RB","Delta",1
"253","Arizona","S","Incoming",1
"254","Arizona","S","Outgoing",1
"255","Arizona","S","Delta",0
"256","Arizona","TE","Incoming",1
"257","Arizona","TE","Outgoing",1
"258","Arizona","TE","Delta",0
"259","Arizona","WR","Incoming",5
"260","Arizona","WR","Outgoing",4
"261","Arizona","WR","Delta",1
"262","Arizona State","CB","Incoming",2
"263","Arizona State","CB","Outgoing",2
"264","Arizona State","CB","Delta",0
"265","Arizona State","DL","Incoming",2
"266","Arizona State","DL","Outgoing",2
"267","Arizona State","DL","Delta",0
"268","Arizona State","EDGE","Incoming",0
"269","Arizona State","EDGE","Outgoing",2
"270","Arizona State","EDGE","Delta",-2
"271","Arizona State","IOL","Incoming",3
"272","Arizona State","IOL","Outgoing",2
"273","Arizona State","IOL","Delta",1
"274","Arizona State","K","Incoming",1
"275","Arizona State","K","Outgoing",0
"276","Arizona State","K","Delta",1
"277","Arizona State","LB","Incoming",0
"278","Arizona State","LB","Outgoing",1
"279","Arizona State","LB","Delta",-1
"280","Arizona State","OT","Incoming",1
"281","Arizona State","OT","Outgoing",2
"282","Arizona State","OT","Delta",-1
"283","Arizona State","RB","Incoming",1
"284","Arizona State","RB","Outgoing",1
"285","Arizona State","RB","Delta",0
"286","Arizona State","S","Incoming",2
"287","Arizona State","S","Outgoing",2
"288","Arizona State","S","Delta",0
"289","Arizona State","TE","Incoming",1
"290","Arizona State","TE","Outgoing",0
"291","Arizona State","TE","Delta",1
"292","Arizona State","WR","Incoming",4
"293","Arizona State","WR","Outgoing",4
"294","Arizona State","WR","Delta",0
"295","Arkansas","CB","Incoming",3
"296","Arkansas","CB","Outgoing",1
"297","Arkansas","CB","Delta",2
"298","Arkansas","DL","Incoming",2
"299","Arkansas","DL","Outgoing",0
"300","Arkansas","DL","Delta",2
"301","Arkansas","EDGE","Incoming",3
"302","Arkansas","EDGE","Outgoing",1
"303","Arkansas","EDGE","Delta",2
"304","Arkansas","IOL","Incoming",2
"305","Arkansas","IOL","Outgoing",6
"306","Arkansas","IOL","Delta",-4
"307","Arkansas","K","Incoming",1
"308","Arkansas","K","Outgoing",0
